product_key,product_id,product_name,category,subcategory,brand,unit_cost,list_price
29,PROD-00029,Consulting Product 0029,Services,Consulting,Nova,1230.41,2395.74
30,PROD-00030,Monitor Product 0030,Technology,Monitor,Orion,4687.69,8468.46
31,PROD-00031,Server Product 0031,Technology,Server,Vertex,3582.25,7855.19
32,PROD-00032,Productivity Product 0032,Software,Productivity,Apex,2619.88,4540.9
33,PROD-00033,Printer Product 0033,Hardware,Printer,Apex,3084.89,3745.44
34,PROD-00034,Accessories Product 0034,Hardware,Accessories,Nova,245.82,321.6
35,PROD-00035,Printer Product 0035,Hardware,Printer,Nova,1405.84,1733.13
36,PROD-00036,Security Product 0036,Software,Security,Apex,1924.17,3050.14
37,PROD-00037,Storage Product 0037,Hardware,Storage,Nexus,1673.22,2158.01
38,PROD-00038,Laptop Product 0038,Technology,Laptop,Nova,3795.41,8315.03
39,PROD-00039,Database Product 0039,Software,Database,Orion,2545.89,4409.03
40,PROD-00040,Analytics Product 0040,Software,Analytics,Nexus,3835.55,7840.9
41,PROD-00041,Database Product 0041,Software,Database,Nexus,2200.03,4327.18
42,PROD-00042,Device Product 0042,Hardware,Device,Nova,4649.75,6018.36
43,PROD-00043,Device Product 0043,Hardware,Device,Nova,3861.95,4994.55
44,PROD-00044,Consulting Product 0044,Services,Consulting,Apex,3862.43,7721.85
45,PROD-00045,Accessories Product 0045,Hardware,Accessories,Nexus,4291.46,5569.81
46,PROD-00046,Database Product 0046,Software,Database,Vertex,260.17,428.81
47,PROD-00047,Security Product 0047,Software,Security,Apex,1994.04,3240.52
48,PROD-00048,Printer Product 0048,Hardware,Printer,Nova,4474.03,7274.64
49,PROD-00049,Storage Product 0049,Hardware,Storage,Vertex,2537.43,4104.92
50,PROD-00050,Security Product 0050,Software,Security,Vertex,801.42,1243.75
51,PROD-00051,Support Product 0051,Services,Support,Orion,2096.37,4242.87
52,PROD-00052,Productivity Product 0052,Software,Productivity,Orion,3934.37,8528.12
53,PROD-00053,Training Product 0053,Services,Training,Vertex,753.41,1300.74
54,PROD-00054,Laptop Product 0054,Technology,Laptop,Orion,2941.6,4304.89
55,PROD-00055,Networking Product 0055,Technology,Networking,Nova,620.17,1093.9
56,PROD-00056,Implementation Product 0056,Services,Implementation,Apex,3009.39,6066.63
57,PROD-00057,Laptop Product 0057,Technology,Laptop,Apex,2585.6,3771.25
58,PROD-00058,Implementation Product 0058,Services,Implementation,Apex,4688.4,9820.94
59,PROD-00059,Analytics Product 0059,Software,Analytics,Nova,1650.17,2949.89
60,PROD-00060,Implementation Product 0060,Services,Implementation,Vertex,823.64,1074.15
61,PROD-00061,Training Product 0061,Services,Training,Nova,2303.99,4775.1
62,PROD-00062,Database Product 0062,Software,Database,Orion,484.41,636.52
63,PROD-00063,Training Product 0063,Services,Training,Nova,4740.09,7179.9
64,PROD-00064,Productivity Product 0064,Software,Productivity,Vertex,2110.0,2933.0
65,PROD-00065,Training Product 0065,Services,Training,Nexus,1303.87,2484.23
66,PROD-00066,Server Product 0066,Technology,Server,Apex,3285.97,5057.15
67,PROD-00067,Support Product 0067,Services,Support,Orion,515.4,1108.04
68,PROD-00068,Implementation Product 0068,Services,Implementation,Orion,725.53,1102.92
69,PROD-00069,Storage Product 0069,Hardware,Storage,Orion,2709.0,4055.02
70,PROD-00070,Monitor Product 0070,Technology,Monitor,Nova,1310.02,2077.59
71,PROD-00071,Laptop Product 0071,Technology,Laptop,Nova,1346.39,2459.78
72,PROD-00072,Analytics Product 0072,Software,Analytics,Nova,2692.83,5309.89
73,PROD-00073,Monitor Product 0073,Technology,Monitor,Nova,2958.22,6408.11
74,PROD-00074,Consulting Product 0074,Services,Consulting,Orion,3978.68,5008.04
75,PROD-00075,Implementation Product 0075,Services,Implementation,Orion,3506.68,7668.09
76,PROD-00076,Analytics Product 0076,Software,Analytics,Apex,2831.95,3756.76
77,PROD-00077,Training Product 0077,Services,Training,Orion,2563.0,4929.76
78,PROD-00078,Accessories Product 0078,Hardware,Accessories,Nexus,3081.57,6023.15
79,PROD-00079,Training Product 0079,Services,Training,Apex,4351.82,5380.72
80,PROD-00080,Support Product 0080,Services,Support,Nova,4308.71,7964.21
81,PROD-00081,Security Product 0081,Software,Security,Nexus,981.12,1509.96
82,PROD-00082,Implementation Product 0082,Services,Implementation,Nova,513.24,1071.65
83,PROD-00083,Training Product 0083,Services,Training,Apex,1038.98,1550.49
84,PROD-00084,Printer Product 0084,Hardware,Printer,Nexus,3072.08,4631.56
85,PROD-00085,Implementation Product 0085,Services,Implementation,Nexus,245.64,473.72
86,PROD-00086,Networking Product 0086,Technology,Networking,Apex,3661.0,7867.03
87,PROD-00087,Database Product 0087,Software,Database,Orion,2384.62,4020.58
88,PROD-00088,Analytics Product 0088,Software,Analytics,Nova,2632.49,4293.98
89,PROD-00089,Productivity Product 0089,Software,Productivity,Orion,4495.69,9868.09
90,PROD-00090,Monitor Product 0090,Technology,Monitor,Nova,944.5,1465.97
91,PROD-00091,Monitor Product 0091,Technology,Monitor,Orion,913.96,1795.08
92,PROD-00092,Productivity Product 0092,Software,Productivity,Orion,211.33,267.75
93,PROD-00093,Monitor Product 0093,Technology,Monitor,Nova,447.37,654.39
94,PROD-00094,Storage Product 0094,Hardware,Storage,Nova,1030.68,1828.06
95,PROD-00095,Security Product 0095,Software,Security,Nova,2923.17,4609.06
96,PROD-00096,Storage Product 0096,Hardware,Storage,Apex,2170.54,4101.81
97,PROD-00097,Networking Product 0097,Technology,Networking,Nexus,1879.38,3322.26
98,PROD-00098,Monitor Product 0098,Technology,Monitor,Apex,392.23,756.18
99,PROD-00099,Storage Product 0099,Hardware,Storage,Orion,3632.54,4600.24
100,PROD-00100,Accessories Product 0100,Hardware,Accessories,Orion,490.2,599.88
101,PROD-00101,Printer Product 0101,Hardware,Printer,Vertex,4275.47,6134.03
102,PROD-00102,Training Product 0102,Services,Training,Vertex,3987.85,6735.08
103,PROD-00103,Server Product 0103,Technology,Server,Vertex,4946.01,6677.75
104,PROD-00104,Device Product 0104,Hardware,Device,Apex,2414.36,5037.17
105,PROD-00105,Server Product 0105,Technology,Server,Orion,3441.81,5036.46
106,PROD-00106,Analytics Product 0106,Software,Analytics,Nova,2631.14,4373.56
107,PROD-00107,Security Product 0107,Software,Security,Orion,1562.13,2266.42
108,PROD-00108,Analytics Product 0108,Software,Analytics,Apex,4366.92,7869.7
109,PROD-00109,Consulting Product 0109,Services,Consulting,Apex,3484.6,7135.31
110,PROD-00110,Monitor Product 0110,Technology,Monitor,Apex,92.66,115.56
111,PROD-00111,Database Product 0111,Software,Database,Nova,4936.57,6145.44
112,PROD-00112,Consulting Product 0112,Services,Consulting,Apex,2981.06,5831.17
113,PROD-00113,Storage Product 0113,Hardware,Storage,Apex,104.13,186.93
114,PROD-00114,Device Product 0114,Hardware,Device,Nova,987.98,1308.01
115,PROD-00115,Productivity Product 0115,Software,Productivity,Nexus,3002.4,5981.6
116,PROD-00116,Storage Product 0116,Hardware,Storage,Orion,4038.57,5844.9
117,PROD-00117,Support Product 0117,Services,Support,Vertex,1522.19,2328.62
118,PROD-00118,Accessories Product 0118,Hardware,Accessories,Nexus,4874.22,7881.19
119,PROD-00119,Server Product 0119,Technology,Server,Nova,2461.22,3217.52
120,PROD-00120,Networking Product 0120,Technology,Networking,Vertex,383.5,817.42
121,PROD-00121,Printer Product 0121,Hardware,Printer,Orion,1030.0,2024.29
122,PROD-00122,Laptop Product 0122,Technology,Laptop,Orion,3642.22,4620.6
123,PROD-00123,Server Product 0123,Technology,Server,Apex,3176.56,6217.64
124,PROD-00124,Device Product 0124,Hardware,Device,Nexus,2951.57,4493.66
125,PROD-00125,Accessories Product 0125,Hardware,Accessories,Apex,4787.01,8556.88
126,PROD-00126,Implementation Product 0126,Services,Implementation,Vertex,3792.8,8335.31
127,PROD-00127,Analytics Product 0127,Software,Analytics,Nova,1051.91,1829.73
128,PROD-00128,Database Product 0128,Software,Database,Vertex,292.92,469.92
129,PROD-00129,Accessories Product 0129,Hardware,Accessories,Nexus,2946.7,5473.0
130,PROD-00130,Consulting Product 0130,Services,Consulting,Nexus,3961.7,7229.16
131,PROD-00131,Accessories Product 0131,Hardware,Accessories,Apex,3050.67,3969.51
132,PROD-00132,Database Product 0132,Software,Database,Vertex,4371.29,8213.87
133,PROD-00133,Analytics Product 0133,Software,Analytics,Apex,2981.76,4239.28
134,PROD-00134,Training Product 0134,Services,Training,Orion,2987.61,5351.89
135,PROD-00135,Security Product 0135,Software,Security,Apex,2258.94,4662.69
136,PROD-00136,Implementation Product 0136,Services,Implementation,Vertex,1872.75,2341.65
137,PROD-00137,Printer Product 0137,Hardware,Printer,Orion,1005.47,1582.0
138,PROD-00138,Storage Product 0138,Hardware,Storage,Vertex,1212.46,1583.17
139,PROD-00139,Monitor Product 0139,Technology,Monitor,Orion,4087.87,6472.49
140,PROD-00140,Device Product 0140,Hardware,Device,Orion,598.56,1082.6
141,PROD-00141,Device Product 0141,Hardware,Device,Orion,2040.58,2552.66
142,PROD-00142,Device Product 0142,Hardware,Device,Orion,2634.6,4616.49
143,PROD-00143,Consulting Product 0143,Services,Consulting,Apex,4106.28,6974.93
144,PROD-00144,Server Product 0144,Technology,Server,Nexus,4754.96,9648.52
145,PROD-00145,Implementation Product 0145,Services,Implementation,Nexus,313.96,671.98
146,PROD-00146,Printer Product 0146,Hardware,Printer,Vertex,3229.47,5369.32
147,PROD-00147,Implementation Product 0147,Services,Implementation,Nexus,641.27,831.57
148,PROD-00148,Monitor Product 0148,Technology,Monitor,Orion,771.87,1101.23
149,PROD-00149,Accessories Product 0149,Hardware,Accessories,Nova,1114.9,1519.84
150,PROD-00150,Training Product 0150,Services,Training,Nova,3149.49,6652.37
151,PROD-00151,Analytics Product 0151,Software,Analytics,Orion,4571.5,9611.53
152,PROD-00152,Storage Product 0152,Hardware,Storage,Nexus,3119.73,5737.84
153,PROD-00153,Support Product 0153,Services,Support,Orion,131.59,283.98
154,PROD-00154,Consulting Product 0154,Services,Consulting,Nexus,1917.55,2324.83
155,PROD-00155,Accessories Product 0155,Hardware,Accessories,Vertex,2560.59,4191.66
156,PROD-00156,Database Product 0156,Software,Database,Nova,2661.35,4192.36
157,PROD-00157,Networking Product 0157,Technology,Networking,Orion,905.99,1376.8
158,PROD-00158,Productivity Product 0158,Software,Productivity,Vertex,2521.44,4648.88
159,PROD-00159,Device Product 0159,Hardware,Device,Orion,1461.84,2766.94
160,PROD-00160,Laptop Product 0160,Technology,Laptop,Nova,2345.41,2887.19
161,PROD-00161,Accessories Product 0161,Hardware,Accessories,Nova,3407.64,6633.76
162,PROD-00162,Support Product 0162,Services,Support,Nexus,2010.52,2495.57
163,PROD-00163,Consulting Product 0163,Services,Consulting,Nova,3292.23,7228.27
164,PROD-00164,Server Product 0164,Technology,Server,Vertex,3767.49,7635.86
165,PROD-00165,Productivity Product 0165,Software,Productivity,Orion,3118.58,5915.1
166,PROD-00166,Device Product 0166,Hardware,Device,Apex,4634.6,5682.1
167,PROD-00167,Database Product 0167,Software,Database,Nova,429.87,599.5
168,PROD-00168,Server Product 0168,Technology,Server,Vertex,1705.08,2329.12
169,PROD-00169,Monitor Product 0169,Technology,Monitor,Nexus,2041.74,4017.44
170,PROD-00170,Device Product 0170,Hardware,Device,Nexus,665.83,995.68
171,PROD-00171,Training Product 0171,Services,Training,Orion,489.24,786.13
172,PROD-00172,Accessories Product 0172,Hardware,Accessories,Orion,2085.46,3894.37
173,PROD-00173,Implementation Product 0173,Services,Implementation,Apex,3779.63,4654.92
174,PROD-00174,Monitor Product 0174,Technology,Monitor,Nexus,1201.13,2241.38
175,PROD-00175,Monitor Product 0175,Technology,Monitor,Vertex,4438.9,8963.28
176,PROD-00176,Security Product 0176,Software,Security,Nexus,1392.13,2358.63
177,PROD-00177,Analytics Product 0177,Software,Analytics,Orion,4311.39,8722.23
178,PROD-00178,Storage Product 0178,Hardware,Storage,Orion,4800.0,6856.02
179,PROD-00179,Training Product 0179,Services,Training,Nexus,2877.51,4668.74
180,PROD-00180,Implementation Product 0180,Services,Implementation,Nova,1478.34,2130.75
181,PROD-00181,Printer Product 0181,Hardware,Printer,Vertex,2508.0,5236.1
182,PROD-00182,Support Product 0182,Services,Support,Vertex,2171.53,3614.31
183,PROD-00183,Consulting Product 0183,Services,Consulting,Nexus,4123.53,5766.28
184,PROD-00184,Training Product 0184,Services,Training,Nexus,2895.6,5973.41
185,PROD-00185,Security Product 0185,Software,Security,Orion,4414.01,8516.43
186,PROD-00186,Printer Product 0186,Hardware,Printer,Nexus,4239.4,9297.42
187,PROD-00187,Monitor Product 0187,Technology,Monitor,Apex,4078.88,7931.71
188,PROD-00188,Database Product 0188,Software,Database,Orion,2002.41,3535.18
189,PROD-00189,Consulting Product 0189,Services,Consulting,Nexus,1167.59,2382.69
190,PROD-00190,Database Product 0190,Software,Database,Nova,1267.61,2144.3
191,PROD-00191,Training Product 0191,Services,Training,Nexus,4481.06,5691.46
192,PROD-00192,Implementation Product 0192,Services,Implementation,Vertex,3090.7,5091.23
193,PROD-00193,Security Product 0193,Software,Security,Nova,2385.81,4251.51
194,PROD-00194,Consulting Product 0194,Services,Consulting,Vertex,4098.28,7973.82
195,PROD-00195,Monitor Product 0195,Technology,Monitor,Nova,4012.86,8241.01
196,PROD-00196,Laptop Product 0196,Technology,Laptop,Vertex,1462.29,2835.64
197,PROD-00197,Analytics Product 0197,Software,Analytics,Vertex,3373.45,4908.79
198,PROD-00198,Consulting Product 0198,Services,Consulting,Orion,1937.47,4021.69
199,PROD-00199,Networking Product 0199,Technology,Networking,Orion,4380.51,5983.19
200,PROD-00200,Accessories Product 0200,Hardware,Accessories,Apex,1996.84,4134.93
